Symbol,Name,Industry,Combined Score,Sales Growth (1 Year),P/E,P/E Relative to Industry,Price/Book,Price/Book Relative to Industry,Price/Sales,Price/Sales Relative to Industry
DG,Dollar General Corporation,Others,5.6,8.3,23.1,1,5.8,1.3,1.4,1.2
DLTR,"Dollar Tree, Inc.",Others,5.6,3.5,25.1,1,3.3,0.7,0.9,0.8
EBAY,eBay Inc.,Service,5.6,-0.3,17.3,0.6,10,1,2.9,0.7
ESS,"Essex Property Trust, Inc.",Financials,5.6,4.4,45.2,0.8,3.2,0.7,13.4,1.4
EXC,Exelon Corporation,Utilities,5.6,-6.7,15.1,0.6,1.4,0.5,1.3,0.5
FRT,Federal Realty Investment Trust,Financials,5.6,1.9,27.9,0.5,4.1,0.9,10.2,1.1
IT,"Gartner, Inc.",Service,5.6,6.8,60.1,1.4,14.6,1.5,3.3,0.5
KHC,Kraft Heinz Company,F&B,5.6,-4.9,20,0.9,0.7,0.2,1.5,0.8
MNST,Monster Beverage Corporation,F&B,5.6,10.3,31.4,1.1,8.2,0.7,8.3,1.4
PEP,"PepsiCo, Inc.",F&B,5.6,3.9,26.5,0.9,12.9,1.2,2.9,0.5
PPG,"PPG Industries, Inc.",Others,5.6,-1.5,25.6,0.8,6,0.6,2.1,0.8
SPGI,"S&P Global, Inc.",Financials,5.6,7,31.8,1,139.1,1.3,10.1,1
TAP,Molson Coors Beverage Company Class B,F&B,5.6,-1.8,48.4,1.1,0.9,0.1,1.1,0.2
VIAC,ViacomCBS Inc. Class B,Others,5.6,2.1,7.8,0.6,2,1.1,0.9,0.8
WBA,Walgreens Boots Alliance Inc,Others,5.6,4.1,11.9,0.9,1.9,1.1,0.3,1
XLNX,"Xilinx, Inc.",Others,5.6,3.4,24.2,0.6,7.9,1.1,6.1,1
ABBV,"AbbVie, Inc.",Others,5.5,1.6,16.8,0.7,#N/A,#N/A,3.9,0.9
GE,General Electric Company,Others,5.5,-3.4,#N/A,#N/A,3.4,0.5,1,0.4
ALGN,"Align Technology, Inc.",Others,5.4,22.4,50.5,1.1,16.3,1.3,9.3,1.4
AME,"AMETEK, Inc.",Others,5.4,6.5,26.6,1.2,4.5,0.3,4.4,1.5
BWA,BorgWarner Inc.,Others,5.4,-3.4,12,0.7,1.9,0.5,0.9,0.7
CME,CME Group Inc. Class A,Financials,5.4,10.7,34,1.4,2.7,0.7,14.7,2.1
DRE,Duke Realty Corporation,Financials,5.4,2.7,29.5,0.5,2.5,0.6,13.1,1.4
EMN,Eastman Chemical Company,Chemicals,5.4,-8.6,14.5,0.3,1.8,0.6,1.2,0.6
EW,Edwards Lifesciences Corporation,Others,5.4,16.8,47.3,1.1,11.8,1,11.4,1.8
FOX,Fox Corporation Class B,Others,5.4,8,16.5,1.2,1.6,0.9,1.3,1.1
FOXA,Fox Corporation Class A,Others,5.4,8,16.5,1.2,1.6,0.9,1.3,1.1
HSIC,"Henry Schein, Inc.",Others,5.4,6,19.6,0.9,3.2,0.6,1,3.1
HUM,Humana Inc.,Others,5.4,15,18.2,1,4,1.3,0.8,1.1
IP,International Paper Company,Others,5.4,-4,15,0.6,2.3,0.5,0.8,0.6
